X,C_W1,C_W2,t,N
83.61736208442521,0.0,0.0,51.416666666665925,18.0
83.5725769510312,0.0,0.0,51.45833333333259,18.0
83.45980623614261,0.0,0.0,51.499999999999254,18.0
87.02139330550911,0.0,0.0,51.54166666666592,17.0
89.56376021150314,0.0,0.0,51.58333333333258,17.0
91.42647365562665,0.0,0.0,51.62499999999925,17.0
92.67984992761546,0.0,0.0,51.66666666666591,17.0
93.51165037622332,0.0,0.0,51.708333333332575,17.0
94.00039802858493,0.0,0.0,51.74999999999924,17.0
94.27624394477314,0.0,0.0,51.791666666665904,17.0
94.4015002024149,0.0,0.0,51.83333333333257,17.0
98.5388342976383,0.0,0.0,51.87499999999923,16.0
101.50535482633882,0.0,0.0,51.9166666666659,16.0
103.68869434038284,0.0,0.0,51.95833333333256,16.0
105.17146204501138,0.0,0.0,51.999999999999226,16.0
106.10287007797739,0.0,0.0,52.04166666666589,16.0
106.67679198422039,0.0,0.0,52.083333333332554,16.0
106.98204078161011,0.0,0.0,52.12499999999922,16.0
106.995534558713,0.0,0.0,52.16666666666588,16.0
106.85326632530536,0.0,0.0,52.20833333333255,16.0
106.53543017723543,0.0,0.0,52.24999999999921,16.0
106.19837795731885,0.0,0.0,52.291666666665876,16.0
105.72724531886361,0.0,0.0,52.33333333333254,16.0
105.19505124355712,0.0,0.0,52.374999999999204,16.0
104.6893641585763,0.0,0.0,52.41666666666587,16.0
104.13492377578288,0.0,0.0,52.45833333333253,16.0
103.54849976029577,0.0,0.0,52.4999999999992,16.0
102.96181772010809,0.0,0.0,52.54166666666586,16.0
102.35818863681,0.0,0.0,52.583333333332526,16.0
101.82769740333603,0.0,0.0,52.62499999999919,16.0
101.26763416805431,0.0,0.0,52.666666666665854,16.0
100.73237011638257,0.0,0.0,52.70833333333252,16.0
100.21583744280503,0.0,0.0,52.74999999999918,16.0
99.77826512141506,0.0,0.0,52.79166666666585,16.0
99.30742933214047,0.0,0.0,52.83333333333251,16.0
98.88237023461973,0.0,0.0,52.874999999999176,16.0
98.53530685614032,0.0,0.0,52.91666666666584,16.0
98.17959723325333,0.0,0.0,52.958333333332504,16.0
97.82865625885239,0.0,0.0,52.99999999999917,16.0
97.4938222415364,0.0,0.0,53.04166666666583,16.0
97.13296518444494,0.0,0.0,53.0833333333325,16.0
96.82945165295692,0.0,0.0,53.12499999999916,16.0
96.48563042974646,0.0,0.0,53.166666666665826,16.0
96.25805844651745,0.0,0.0,53.20833333333249,16.0
95.97188654767052,0.0,0.0,53.249999999999154,16.0
95.70278638588037,0.0,0.0,53.29166666666582,16.0
95.48837891191086,0.0,0.0,53.33333333333248,16.0
95.22689615327783,0.0,0.0,53.37499999999915,16.0
94.9981557725978,0.0,0.0,53.41666666666581,16.0
94.82982594397231,0.0,0.0,53.458333333332476,16.0
94.5860770306961,0.0,0.0,53.49999999999914,16.0
94.3849971512637,0.0,0.0,53.541666666665805,16.0
94.19193666521076,0.0,0.0,53.58333333333247,16.0
94.04646472067455,0.0,0.0,53.62499999999913,16.0
93.85104835795822,0.0,0.0,53.6666666666658,16.0
97.94020199722722,0.0,0.0,53.70833333333246,15.0
100.94484744278573,0.0,0.0,53.749999999999126,15.0
103.15247731909017,0.0,0.0,53.79166666666579,15.0
